MapNo,Lon,Lat,DeltaR,DeltaRErr,Reference,Locality,Subregion,Notes,CollectionYear,ReservoirAge,ReservoirErr,C14age,C14err,LabID,Delta13C,TaxaNo,RefNo,nextime,last_changed
720,-119.42,76.2,227,40,"McNeely R., :2006","Prince Patrick Is., NT",Arctic Ocean Islands,,1952,627,40,830,40,CAMS-46280,0.47,197,105,,11/08/2020 23:00
719,-103.5,78.78,627,50,"McNeely R., :2006","Ellef Rignes Is., NU",Arctic Ocean Islands,,1954,1023,50,1230,50,CAMS-46271,-1,197,105,,11/08/2020 23:00
718,-86.25,80,167,50,Coulthard RD:2010,"Slidre Fd, NU",Arctic Ocean Islands,,1955,561,50,770,50,CAMS-34646,0.75,23,32,,11/08/2020 23:00
717,-86.25,80,127,50,Coulthard RD:2010,"Slidre Fd, NU",Arctic Ocean Islands,,1955,521,50,730,50,CAMS-33139,-1.37,148,32,,11/08/2020 23:00
714,-115.08,68.88,249,25,Coulthard RD:2010,"Dophin & Union Str., NU",Arctic Ocean Coastal,,1915,732,30,855,25,UCIAMS-6010,0.73,36,32,,11/08/2020 23:00
713,-115.08,68.88,384,70,Coulthard RD:2010,"Dophin & Union Str., NU",Arctic Ocean Coastal,,1915,867,70,990,70,TO-8054,0.73,36,32,,11/08/2020 23:00
712,-156.48,71.4,404,60,"McNeely R., :2006","Pt. Barrow, AK",Arctic Ocean Coastal,,1913,890,60,1010,60,TO-8020,2.89,23,105,,11/08/2020 23:00
581,58.6,23.5,129,51,"Southon, J, :2002",Muscat,,,1843,659,52,786,51,CAMS-3953,,135,132,,11/08/2020 23:00
582,45,12.5,0,57,"Southon, J, :2002",Aden,,,1850,529,58,653,57,CAMS-3920,,135,132,,11/08/2020 23:00
583,54,12.5,49,57,"Southon, J, :2002",Socotra,,,1850,578,58,702,57,CAMS-3926,,61,132,,11/08/2020 23:00
584,58.6,23.5,42,60,"Southon, J, :2002",Muscat,,,1897,559,60,658,60,CAMS-3929,,192,132,,11/08/2020 23:00
585,53.3,12.5,-38,57,"Southon, J, :2002",Perim,,,1920,429,57,566,57,CAMS-3938,,112,132,,11/08/2020 23:00
586,45,12.5,149,51,"Southon, J, :2002",Aden,,,1921,613,51,753,51,CAMS-3948+39,,135,132,,11/08/2020 23:00
587,45,12.5,64,68,"Southon, J, :2002",Aden,,,1921,528,68,668,68,CAMS-3921,,193,132,,11/08/2020 23:00
588,43,11.3,-45,57,"Southon, J, :2002",Djibouti,,,1921,419,57,559,57,CAMS-3924,,228,132,,11/08/2020 23:00
589,65.92,24.83,60,25,"von Rad, U, :1999",NE Arabian Sea,,,1926,511,26,664,25,KIA-series,,350,151,,30/08/2023 13:38
590,65.92,24.83,90,23,"von Rad, U, :1999",NE Arabian Sea,,,1898,607,24,705,23,KIA-series,,350,151,,30/08/2023 13:38
591,69.1,22.15,90,44,"Dutta, K, Bh:2001","Port Okha, Gujarat",,,1953,488,48,693,44,PRLCH-319,,251,45,,11/08/2020 23:00
592,69.02,22.13,-5,35,"Dutta, K, Bh:2001","Dwarka, Gujarat",,,1952,395,39,598,35,PRLCH-543,,251,45,,11/08/2020 23:00
668,9.72,55.25,-105,51,"Olsson, I U,:1980","Aaro Sund, Southeastern Jutland, Denmark",,"b,e",1939,332,52,498,51,K-349,,310,112,,11/08/2020 23:00
667,-28.73,68.35,-121,51,"Olsson, I U,:1980","Kap Rink, E. Greenland",,"b,e",1932,320,52,483,51,K-348,,299,112,,11/08/2020 23:00
666,-68.77,76.55,34,52,"Olsson, I U,:1980","Thule, Greenland",,"b,e",1915,517,52,640,52,K-347,,300,112,,11/08/2020 23:00
665,-52,69.5,-85,51,"Olsson, I U,:1980",N.or W. Greenland,,"b,c,e",1886,426,52,543,51,K-346,,306,112,,11/08/2020 23:00
597,72.7,18.8,-4,57,"Southon, J, :2002",Bombay,,,1836,535,58,656,57,CAMS-3928,,139,132,,11/08/2020 23:00
598,72.93,18.9,-47,50,"Southon, J, :2002",Bombay,,g(<),1887,464,50,580,50,CAMS-8693,,316,132,,11/08/2020 23:00
599,73.8,16.5,84,51,"Southon, J, :2002",Goa,,,1841,613,52,742,51,CAMS-3950,,136,132,,11/08/2020 23:00
600,76,11.3,-30,64,"Southon, J, :2002",Malabar,,,1847,501,65,625,64,CAMS-3927+39,,181,132,,11/08/2020 23:00
601,80,7,-67,47,"Southon, J, :2002",Sri Lanka,,c,1841,462,48,591,47,CAMS-3940+39,,192,132,,11/08/2020 23:00
602,80,7,26,53,"Southon, J, :2002",Sri Lanka,,c,1874,533,53,663,53,CAMS-3947,,193,132,,11/08/2020 23:00
603,80,7,45,53,"Southon, J, :2002",Sri Lanka,,c,1924,503,53,649,53,CAMS-3959,,244,132,,11/08/2020 23:00
604,80,7,-97,50,"Southon, J, :2002",Sri Lanka,,"c,g(<)",1887,414,50,530,50,CAMS-8692,,316,132,,11/08/2020 23:00
605,70,22.6,-169,51,"Bhushan R, C:1994",Pirotan Island,,midpoint (3),1953,229,54,434,51,PRLCH-87,,275,11,,11/08/2020 23:00
606,70,22.6,-106,51,"Bhushan R, C:1994",Pirotan Island,,midpoint (3),1952,294,54,497,51,PRLCH-88,,275,11,,11/08/2020 23:00
607,93,13,-135,34,"Dutta, K, Bh:2001","Stewart Is., N. Andaman",,,1935,309,35,469,34,PRLCH-539,,21,45,,11/08/2020 23:00
608,79.22,9.17,-121,34,"Dutta, K, Bh:2001","Rameswaram, Tamilnadu",,,1930,320,35,483,34,PRLCH-545,,82,45,,11/08/2020 23:00
609,79.22,9.17,-105,34,"Dutta, K, Bh:2001","Rameswaram, Tamilnadu",,,1949,301,35,498,34,PRLCH-544,,82,45,,11/08/2020 23:00
610,78.7,9.2,-92,34,"Dutta, K, Bh:2001","Mandapam, Tamilnadu",,,1953,306,39,511,34,PRLCH-526,,82,45,,11/08/2020 23:00
611,80,12.1,356,57,"Southon, J, :2002","Pondicherry, India",,g(<),1920,823,57,960,57,CAMS-3923,,136,132,,11/08/2020 23:00
612,94,9,-126,70,"Southon, J, :2002",Nicobar Islands,,g(<),1913,360,70,480,70,CAMS-6574,,236,132,,11/08/2020 23:00
613,85.3,19.5,-195,51,"Dutta, K, Bh:2001","Chilika Lake, Orissa (lagoon)",,,1954,201,59,408,51,PRLCH-320,,138,45,,11/08/2020 23:00
614,36.12,69.12,-238,55,"Forman, S L :1997",Bolshye Chevry Bay,,,1936,205,56,365,55,AA-12480,,113,51,,11/08/2020 23:00
615,53.85,81.23,-283,40,"Forman, S L :1997",north of Salisbury Is.,,,1936,160,41,320,40,GX-19024,,301,51,,11/08/2020 23:00
616,49.8,79.92,-265,48,"Forman, S L :1997",Northbrook Is.,,,1901,252,49,347,48,GX-19026,,140,51,,11/08/2020 23:00
617,52.42,71.5,-130,59,"Forman, S L :1997",Belushia Bay,,,1923,331,59,474,59,GX-19206,,141,51,,11/08/2020 23:00
618,58,75.58,-180,58,"Forman, S L :1997",Pospelov Bay,,,1934,263,59,424,58,GX-19207,,214,51,,30/08/2023 13:38
619,53.33,73.25,-150,58,"Forman, S L :1997",Matiushikhm Bay,,,1937,292,59,453,58,GX-19208,,57,51,,11/08/2020 23:00
620,55,73.2,-230,50,"Forman, S L :1997",Cape Uzkij,,,1926,221,50,374,50,GX-19025,,60,51,,11/08/2020 23:00
621,52.75,72.37,-213,50,"Forman, S L :1997",Mal Karmakuly,,,1900,304,50,400,50,AA-16843,,140,51,,11/08/2020 23:00
622,55.33,74.17,-54,45,"Forman, S L :1997",Krestovaia Bay,,,1921,410,46,550,45,AA-16839,,60,51,,11/08/2020 23:00
623,59,75.83,160,51,"Forman, S L :1997",Arkhangelsk Bay,,,1927,608,51,764,51,GX-19023,,197,51,,11/08/2020 23:00
624,56,74.75,301,45,"Forman, S L :1997",Mashigin Bay,,,1926,752,46,905,45,AA-16842,,197,51,,11/08/2020 23:00
625,57.67,74.08,321,50,"Forman, S L :1997",Medveznji Bay,,,1934,764,51,925,50,AA-13019,,197,51,,11/08/2020 23:00
626,56,73.3,-93,55,"Forman, S L :1997",Kankrin Bau,,,1943,329,56,510,55,AA-16840,,197,51,,11/08/2020 23:00
627,56,72.93,161,45,"Forman, S L :1997",Brandt Bay,,,1927,609,46,765,45,AA-16841,,197,51,,11/08/2020 23:00
743,-51.53,46.53,-3,50,"McNeely R., :2006",south coast of NF,Atlantic Coast Cape Cod North,,1951,399,50,600,50,CAMS-33354,1.86,57,105,,11/08/2020 23:00
744,-70,43.7,22,40,"McNeely R., :2006","Casco Bay, ME",Atlantic Coast Cape Cod North,,1873,531,40,660,40,CAMS-3433/34,0,64,105,,11/08/2020 23:00
745,-65.77,44.62,-76,40,"McNeely R., :2006","Digby, NS",Atlantic Coast Cape Cod North,,1914,409,40,530,40,CAMS-46754,1.4,155,105,,11/08/2020 23:00
746,-64.82,45.15,-173,50,"McNeely R., :2006","Harbourville, NS",Atlantic Coast Cape Cod North,,1953,225,50,430,50,CAMS-47236,1.08,155,105,,11/08/2020 23:00
747,-60.62,46.13,-43,40,"McNeely R., :2006","Big Hbr, NS",Atlantic Coast Cape Cod North,,1952,357,40,560,40,CAMS-47237,0.56,155,105,,11/08/2020 23:00
748,-67,44.9,-113,60,"McNeely R., :2006","Eastport, ME",Atlantic Coast Cape Cod North,,1952,287,60,490,60,CAMS-47238,1.46,108,105,,11/08/2020 23:00
749,-56,46,22,30,"McNeely R., :2006","St. Pierre, NF",Atlantic Coast Cape Cod North,,1908,517,30,630,30,CAMS-64253,2,23,105,,11/08/2020 23:00
750,-65.62,43.4,32,40,"McNeely R., :2006","Cape Sable, NS",Atlantic Coast Cape Cod North,,1908,527,40,640,40,CAMS-64254,1.6,23,105,,11/08/2020 23:00
751,-65.58,43.4,-148,30,"McNeely R., :2006","Black Rock, NS",Atlantic Coast Cape Cod North,,1908,347,30,460,30,CAMS-64264,2.3,108,105,,11/08/2020 23:00
752,-61.12,43.23,-23,40,"McNeely R., :2006","Banqueveau Bank, NS",Atlantic Coast Cape Cod North,,1936,420,40,580,40,CAMS-65805,2.18,57,105,,11/08/2020 23:00
753,-50.5,45.5,-113,40,"McNeely R., :2006","Grand Bank, NF",Atlantic Coast Cape Cod North,,1954,283,40,490,40,CAMS-65809,2.46,152,105,,11/08/2020 23:00
754,-66,43.75,-77,60,"McNeely R., :2006","Yarmouth, NS",Atlantic Coast Cape Cod North,,1910,412,60,530,60,GSC-0071,1.7,124,105,,11/08/2020 23:00
755,-65.03,44.91,-104,130,"McNeely R., :2006","Nictaux Falls, NS",Atlantic Coast Cape Cod North,,1923,357,130,500,130,GSC-1288,2.38,151,105,,11/08/2020 23:00
756,-63,44,-173,80,"McNeely R., :2006","Hour Bank, NS",Atlantic Coast Cape Cod North,,1950,231,80,430,80,GSC-6110,1.78,57,105,,11/08/2020 23:00
757,-63,44,-123,80,"McNeely R., :2006","Hour Bank, NS",Atlantic Coast Cape Cod North,,1950,281,80,480,80,GSC-6112,1.93,146,105,,11/08/2020 23:00
758,-67.03,45.15,-124,70,"McNeely R., :2006","Passamaquoddy Bay, NB",Atlantic Coast Cape Cod North,,1924,334,70,480,70,GSC-6134,0.35,144,105,,11/08/2020 23:00
759,-63.6,44.65,-114,60,"McNeely R., :2006","Halifax Hbr, NS",Atlantic Coast Cape Cod North,,1931,326,60,490,60,GSC-6273,0.44,144,105,,11/08/2020 23:00
760,-65.63,43.5,-47,50,"McNeely R., :2006","Barrington Passage, NS",Atlantic Coast Cape Cod North,,1910,442,50,560,50,TO-8016,1.52,155,105,,11/08/2020 23:00
761,-64.35,44.22,-47,50,"McNeely R., :2006","LaHave Is., NS",Atlantic Coast Cape Cod North,,1910,442,50,560,50,TO-8017,1.24,155,105,,11/08/2020 23:00
762,-67,44.9,-23,50,"McNeely R., :2006","Eastport, ME",Atlantic Coast Cape Cod North,,1954,373,50,580,50,TO-8028,2.14,151,105,,11/08/2020 23:00
763,-67.07,45.08,5,60,"McNeely R., :2006","St. Andrews, NB",Atlantic Coast Cape Cod North,,1917,481,60,610,60,TO-8051,1.64,151,105,,11/08/2020 23:00
764,-64.17,45.25,-64,90,"McNeely R., :2006","Minas Basin, NS",Atlantic Coast Cape Cod North,,1920,403,90,540,90,TO-8058,1.98,153,105,,11/08/2020 23:00
765,-65.63,43.5,-72,25,"McNeely R., :2006","Barrington Passage, NS",Atlantic Coast Cape Cod North,,1910,417,30,535,25,UCIAMS-6028,2.02,151,105,,11/08/2020 23:00
766,-70.88,42.56,-68,15,"McNeely R., :2006","Beverly, MA",Atlantic Coast Cape Cod North,,1953,330,20,535,15,UCIAMS-6029,1.9,151,105,,11/08/2020 23:00
767,-70.25,43.67,-86,15,"McNeely R., :2006","Casco Bay, ME",Atlantic Coast Cape Cod North,,1913,400,20,520,15,UCIAMS-6030,0.9,215,105,,11/08/2020 23:00
768,-70.8,41.4,-37,60,"McNeely R., :2006","Vineyard Sd., MA",Atlantic Coast Cape Cod South,,1875,470,60,600,60,CAMS-2354,0,76,105,,11/08/2020 23:00
769,-70.8,41.4,-39,40,"McNeely R., :2006","Vineyard Sd., MA",Atlantic Coast Cape Cod South,,1871,475,40,600,40,CAMS-2410,0,95,105,,11/08/2020 23:00
770,-70,42,-104,40,"McNeely R., :2006","Cape Cod, MA",Atlantic Coast Cape Cod South,,1879,409,40,530,40,CAMS-2413,1,96,105,,11/08/2020 23:00
771,-70.8,41.3,-47,40,"McNeely R., :2006","Stonington, CT",Atlantic Coast Cape Cod South,,1874,460,40,590,40,CAMS-2414,1.3,142,105,,11/08/2020 23:00
772,-70.8,41.4,71,70,"McNeely R., :2006","Vineyard Sd., MA",Atlantic Coast Cape Cod South,,1871,585,70,710,70,CAMS-2513/25,0,95,105,,11/08/2020 23:00
773,-70.8,41.3,93,90,"McNeely R., :2006","Stonington, CT",Atlantic Coast Cape Cod South,,1874,600,90,730,90,CAMS-2515/25,0.7,142,105,,11/08/2020 23:00
774,-74.35,39.35,7,50,"McNeely R., :2006","Atlantic City, NJ",Atlantic Coast Cape Cod South,,1891,523,50,630,50,CAMS-2964,0,124,105,,11/08/2020 23:00
775,-74,40.2,-24,60,"McNeely R., :2006","Shark River, NJ",Atlantic Coast Cape Cod South,,1899,493,60,590,60,CAMS-2965,0,255,105,,11/08/2020 23:00
776,-71.4,41.6,-63,70,"McNeely R., :2006","Narragansett Bay, RI",Atlantic Coast Cape Cod South,,1880,452,70,570,70,CAMS-3264/32,0,76,105,,11/08/2020 23:00
777,-70.86,41.34,-19,60,"McNeely R., :2006","Gay Head, MA",Atlantic Coast Cape Cod South,,1871,495,60,620,60,CAMS-3266,0,76,105,,11/08/2020 23:00
778,-72.5,41.2,-104,60,"McNeely R., :2006","Long Island Sd., NY",Atlantic Coast Cape Cod South,,1890,410,60,520,60,CAMS-3267,0,76,105,,11/08/2020 23:00
779,-71.4,41.6,-39,50,"McNeely R., :2006","Narragansett Bay, RI",Atlantic Coast Cape Cod South,,1895,481,50,580,50,CAMS-3435,0,76,105,,11/08/2020 23:00
780,-70.54,41.9,-23,60,"McNeely R., :2006","Plymouth, MA",Atlantic Coast Cape Cod South,,1955,371,60,580,60,TO-8049,2.11,151,105,,11/08/2020 23:00
781,-66.58,62.83,-3,40,Coulthard RD:2010,"Frobisher Bay, NU",Baffin Bay,,1953,395,40,600,40,CAMS-57299,0.9,108,32,,11/08/2020 23:00
782,-65.67,66.13,77,40,Coulthard RD:2010,"Pangnirtung, NU",Baffin Bay,,1953,475,40,680,40,CAMS-57300,0.9,148,32,,11/08/2020 23:00
783,-66.58,62.83,57,40,Coulthard RD:2010,"Frobisher Bay, NU",Baffin Bay,,1953,455,40,660,40,CAMS-57302,1.9,108,32,,11/08/2020 23:00
784,-65,63,-73,30,Coulthard RD:2010,"Cumberland Sd., NU",Baffin Bay,,1953,325,30,530,30,CAMS-57303,0.3,148,32,,11/08/2020 23:00
785,-66.8,62.66,47,40,Coulthard RD:2010,"Watts Bay, NU",Baffin Bay,,1952,447,80,650,40,GSC-1889,3.35,57,32,,11/08/2020 23:00
786,-74.87,72.45,60,40,Coulthard RD:2010,"Cape Macculloch, NU",Baffin Bay,k,1894,581,80,680,40,GSC-3671,-0.4,197,32,,11/08/2020 23:00
787,-65.73,66.15,-53,40,Coulthard RD:2010,"Pangnirtung, NU",Baffin Bay,,1952,347,40,550,40,TO-5979,1.3,152,32,,11/08/2020 23:00
788,-65.73,66.15,-83,70,Coulthard RD:2010,"Pangnirtung, NU",Baffin Bay,,1952,317,70,520,70,TO-8042,-0.01,152,32,,11/08/2020 23:00
789,-77,72.8,87,20,Coulthard RD:2010,"Bylot Is., NU",Baffin Bay,,1955,481,30,690,20,UCIAMS-6562,1.3,148,32,,11/08/2020 23:00
790,-65.48,62.73,47,20,Coulthard RD:2010,"Ct. Warwick Sd., NU",Baffin Bay,,1951,449,30,650,20,UCIAMS-6563,1.97,148,32,,11/08/2020 23:00
791,-22.5,70.5,-194,60,"McNeely R., :2006",Greenland,East Greenland,,1933,248,60,410,60,TO-8059,1.02,23,105,,11/08/2020 23:00
792,-77.93,64.4,157,50,Coulthard RD:2010,"Schooner Hbr, NU",Foxe Basin,,1953,555,50,760,50,CAMS-33144,1.49,23,32,,11/08/2020 23:00
793,-81.1,69.62,177,50,Coulthard RD:2010,"Fury & Hecla Str., NU",Foxe Basin,,1956,569,50,780,50,CAMS-33145,0.66,62,32,,11/08/2020 23:00
794,-86.2,66.47,87,50,Coulthard RD:2010,"Repulse Bay, NU",Foxe Basin,,1955,481,50,690,50,CAMS-33146,2.31,148,32,,11/08/2020 23:00
795,-81.1,69.62,187,50,Coulthard RD:2010,"Fury & Hecla Str., NU",Foxe Basin,,1956,579,50,790,50,CAMS-33147,1.99,108,32,,11/08/2020 23:00
796,-82.65,63,87,50,Coulthard RD:2010,"Bencas Is., NU",Foxe Basin,,1954,483,50,690,50,CAMS-33149,2.27,62,32,,11/08/2020 23:00
797,-82,63.6,-123,50,Coulthard RD:2010,"Evans Strait, NU",Foxe Basin,,1953,275,50,480,50,CAMS-34647,1.79,62,32,,11/08/2020 23:00
798,-81.72,69.34,177,40,"McNeely R., :2006","Hooper Inlet, NU",Foxe Basin,,1956,569,40,780,40,CAMS-34650,-0.05,131,105,,11/08/2020 23:00
799,-81.72,69.34,87,50,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1956,479,50,690,50,CAMS-34651,0.57,212,32,,11/08/2020 23:00
800,-81.1,69.62,97,50,Coulthard RD:2010,"Fury & Hecla Str., NU",Foxe Basin,,1956,489,50,700,50,CAMS-34657,-0.98,32,32,,11/08/2020 23:00
801,-81.72,69.34,197,40,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1956,589,40,800,40,CAMS-35483,0.3,28,32,,11/08/2020 23:00
802,-80.2,70.01,17,40,Coulthard RD:2010,"Murray Maxwell Bay, NU",Foxe Basin,,1956,409,40,620,40,CAMS-35484,0.35,62,32,,11/08/2020 23:00
803,-81.72,69.34,127,50,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1956,519,50,730,50,CAMS-35485,0.78,149,32,,11/08/2020 23:00
804,-80.88,69.4,107,50,Coulthard RD:2010,"Tern Is., NU",Foxe Basin,,1956,499,50,710,50,CAMS-35486,2,148,32,,11/08/2020 23:00
805,-77.63,69.73,37,50,Coulthard RD:2010,"Cape Jensen, NU",Foxe Basin,,1956,429,50,640,50,CAMS-35487,2.38,108,32,,11/08/2020 23:00
806,-81.74,69.38,297,40,"McNeely R., :2006","Turton Bay, NU",Foxe Basin,,1956,689,40,900,40,CAMS-46272,-1.01,197,105,,11/08/2020 23:00
807,-81.59,69.31,377,50,"McNeely R., :2006","Hooper Inlet, NU",Foxe Basin,,1955,771,50,980,50,CAMS-46273,-0.56,197,105,,11/08/2020 23:00
808,-80.28,69.57,377,50,"McNeely R., :2006","Jens Munk Is., NU",Foxe Basin,,1955,771,50,980,50,CAMS-46274,-0.28,197,105,,11/08/2020 23:00
809,-80.2,70.01,167,50,"McNeely R., :2006","Murray Maxwell Bay, NU",Foxe Basin,,1956,559,50,770,50,CAMS-46275,0.3,197,105,,11/08/2020 23:00
810,-81.74,69.38,357,40,"McNeely R., :2006","Turton Bay, NU",Foxe Basin,,1956,749,40,960,40,CAMS-46276,-0.74,197,105,,11/08/2020 23:00
811,-81.74,69.38,317,50,"McNeely R., :2006","Turton Bay, NU",Foxe Basin,,1956,709,50,920,50,CAMS-46277,-0.57,197,105,,11/08/2020 23:00
812,-80.2,70.01,167,40,"McNeely R., :2006","Murray Maxwell Bay, NU",Foxe Basin,,1956,559,40,770,40,CAMS-46278,0.28,197,105,,11/08/2020 23:00
813,-81.74,69.38,307,50,"McNeely R., :2006","Turton Bay, NU",Foxe Basin,,1956,699,50,910,50,CAMS-46279,-0.81,197,105,,11/08/2020 23:00
814,-81.83,62.95,-93,40,Coulthard RD:2010,"Cape Pembroke, NU",Foxe Basin,,1954,303,40,510,40,CAMS-46547,1.87,79,32,,11/08/2020 23:00
815,-82.65,63,-13,40,Coulthard RD:2010,"Bencas Is., NU",Foxe Basin,,1954,383,40,590,40,CAMS-46549,2.18,152,32,,11/08/2020 23:00
816,-80.2,63.68,-43,40,Coulthard RD:2010,"Foxe Channel, NU",Foxe Basin,,1953,355,40,560,40,CAMS-46552,2.18,148,32,,11/08/2020 23:00
817,-82.65,63,-73,50,Coulthard RD:2010,"Bencas Is., NU",Foxe Basin,,1954,323,50,530,50,CAMS-46557,0.75,62,32,,11/08/2020 23:00
818,-82,63.6,67,50,Coulthard RD:2010,"Evans Strait, NU",Foxe Basin,,1953,465,50,670,50,CAMS-46560,1.21,108,32,,11/08/2020 23:00
819,-77.8,69.27,97,40,Coulthard RD:2010,"Rowley Is., NU",Foxe Basin,,1956,489,40,700,40,CAMS-47239,0.34,148,32,,11/08/2020 23:00
820,-80.2,70.01,97,40,Coulthard RD:2010,"Murray Maxwell Bay, NU",Foxe Basin,,1956,489,40,700,40,CAMS-47240,-1.21,212,32,,11/08/2020 23:00
821,-81.33,66.92,207,40,Coulthard RD:2010,"Cape Wilson, NU",Foxe Basin,,1955,601,40,810,40,CAMS-47241,1.61,148,32,,11/08/2020 23:00
822,-80.32,69.94,67,40,Coulthard RD:2010,"Murray Maxwell Bay, NU",Foxe Basin,,1956,459,40,670,40,CAMS-47242,0.8,108,32,,11/08/2020 23:00
823,-81.59,69.31,117,50,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1955,511,50,720,50,CAMS-47243,1.37,108,32,,11/08/2020 23:00
824,-82.68,62.98,-3,40,Coulthard RD:2010,"Coats Is., NU",Foxe Basin,,1954,393,40,600,40,CAMS-47244,-1.26,62,32,,11/08/2020 23:00
825,-81.72,69.34,137,40,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1956,529,80,740,40,GSC-6098,0.96,23,32,,11/08/2020 23:00
826,-77.93,64.4,87,50,"McNeely R., :2006","Schooner Hbr, NU",Foxe Basin,,1953,485,50,690,50,TO-5977,0.46,131,105,,11/08/2020 23:00
827,-80.88,69.69,137,50,Coulthard RD:2010,"South Passage, NU",Foxe Basin,,1956,529,50,740,50,TO-8033,1.43,148,32,,11/08/2020 23:00
828,-81.72,69.34,307,50,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1955,701,50,910,50,TO-8037,1.69,23,32,,11/08/2020 23:00
829,-81.72,69.34,127,50,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1956,519,50,730,50,TO-8038,1.71,23,32,,11/08/2020 23:00
830,-81.74,69.38,357,60,Coulthard RD:2010,"Turton Bay, NU",Foxe Basin,,1956,749,60,960,60,TO-8039,1.17,28,32,,11/08/2020 23:00
831,-81.1,69.62,217,60,Coulthard RD:2010,"Fury & Hecla Str., NU",Foxe Basin,,1956,609,60,820,60,TO-8040,2.18,108,32,,11/08/2020 23:00
832,-86.25,66.52,162,20,Coulthard RD:2010,"Repulse Bay, NU",Foxe Basin,,1955,556,30,765,20,UCIAMS-6014,1.9,23,32,,11/08/2020 23:00
833,-81.72,69.34,277,20,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1955,671,30,880,20,UCIAMS-6015,1.69,23,32,,11/08/2020 23:00
834,-81.74,69.38,327,20,Coulthard RD:2010,"Turton Bay, NU",Foxe Basin,,1956,719,30,930,20,UCIAMS-6016,1.17,28,32,,11/08/2020 23:00
835,-81.72,69.34,132,20,Coulthard RD:2010,"Hooper Inlet, NU",Foxe Basin,,1956,524,30,735,20,UCIAMS-6564,1.71,108,32,,11/08/2020 23:00
836,-57.25,51.47,-144,50,"McNeely R., :2006","Bradore Bay, QC",Gulf of St. Lawrence northern,,1923,317,50,460,50,CAMS-34645,1.78,155,105,,11/08/2020 23:00
837,-67.33,48.88,-53,50,"McNeely R., :2006","Matane, QC",Gulf of St. Lawrence northern,,1953,345,50,550,50,CAMS-34649,1.32,155,105,,11/08/2020 23:00
838,-63.75,50.22,-39,40,"McNeely R., :2006","Ile Niapiskau, QC",Gulf of St. Lawrence northern,,1884,475,40,590,40,CAMS-65810,1.48,57,105,,11/08/2020 23:00
839,-57.25,51.47,-154,80,"McNeely R., :2006","Bradore Basin, QC",Gulf of St. Lawrence northern,,1923,307,80,450,80,GSC-6106,0.64,155,105,,11/08/2020 23:00
840,-71.18,46.87,174,50,"McNeely R., :2006","Beauport, QC",Gulf of St. Lawrence northern,,1912,661,50,780,50,TO-5702,0,73,105,,11/08/2020 23:00
841,-61.16,50.28,77,60,"McNeely R., :2006","Pointe aux Outardes, QC",Gulf of St. Lawrence northern,,1953,475,60,680,60,TO-8045,0.24,155,105,,11/08/2020 23:00
842,-69.55,48.23,-13,70,"McNeely R., :2006","Pointe � John, QC",Gulf of St. Lawrence northern,,1953,385,70,590,70,TO-8046,0.15,155,105,,11/08/2020 23:00
843,-67.58,48.84,77,60,"McNeely R., :2006","Matane, QC",Gulf of St. Lawrence northern,,1953,475,60,680,60,TO-8048,0.8,155,105,,11/08/2020 23:00
844,-70.18,47.32,127,50,"McNeely R., :2006","Saint-Roch-des-Aulnaies., QC",Gulf of St. Lawrence northern,,1953,525,50,730,50,TO-8052,3.2,130,105,,11/08/2020 23:00
845,-66.68,49.1,87,50,"McNeely R., :2006","Cap Chat, QC",Gulf of St. Lawrence northern,,1953,485,50,690,50,TO-8053,1.82,150,105,,11/08/2020 23:00
846,-70.2,48.25,-33,60,"McNeely R., :2006","Saguenay Fd, QC",Gulf of St. Lawrence northern,,1959,353,60,570,60,TO-8055,-1.65,151,105,,11/08/2020 23:00
847,-57.24,51.46,-9,20,"McNeely R., :2006","Bradore Bay, QC",Gulf of St. Lawrence northern,,1923,452,20,595,20,UCIAMS-6026,-1.88,155,105,,11/08/2020 23:00
848,-63.13,46.25,-50,50,"McNeely R., :2006","Charlottetown, PEI",Gulf of St. Lawrence southwestern,,1883,466,50,580,50,CAMS-33140,0.12,92,105,,11/08/2020 23:00
849,-65.37,47.08,-43,50,"McNeely R., :2006","Middle Is., NB",Gulf of St. Lawrence southwestern,,1950,361,50,560,50,CAMS-33353,-1.49,155,105,,11/08/2020 23:00
850,-65.37,47.08,-43,50,"McNeely R., :2006","Bartibog Is., NB",Gulf of St. Lawrence southwestern,,1950,361,50,560,50,CAMS-33355,-0.04,103,105,,11/08/2020 23:00
851,-63.87,46.6,77,50,"McNeely R., :2006","Bideford R., PEI",Gulf of St. Lawrence southwestern,,1953,475,50,680,50,CAMS-33357,-0.02,73,105,,11/08/2020 23:00
852,-62,48.25,66,50,"McNeely R., :2006","Gulf of St. Lawrence, QC",Gulf of St. Lawrence southwestern,,1899,583,50,680,50,CAMS-33358,1.57,23,105,,11/08/2020 23:00
