z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
14,26,Si,,,,,,0,,,0+,33.0,,10,ms,0.033,0.001,B-,100,,B-2N,,,B-N,,,,,,,,13806.0653,147.8912,10370.1935,166.0437,-17138.1994,700.9344,-23153.124,323.855,4724.7939,182.3478,23112,324,7655.8247,3.0498,40006083.641,130.962,5666.876,121.991,N,1989,30-Sep-2015,JUN CHEN,2023-10-18
14,27,Si,,,,,,0,,,,20.0,,25,ms,0.02,0.0025,B-,100,,B-N,0,,,,,,,,,,18180,323,13268,311,-17436,761,-21390.0,500.0,538,324,22909,424,7482,7,41014171,322,13200,300,Y,1989,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18
14,28,Si,,,,,,0,,,0+,12.5,,35,ms,0.0125,0.0035,B-,100,,B-N,,,B-2N,,,,,,,,15748,315,13748,323,-19659,586,-25150.0,583.0,4432,424,25040,500,7410,7,42018078,322,16840,300,Y,1990,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18
14,29,Si,,,,,,0,,,,60,GT,,ns,0.00000006,,B-,,,B-N,,,B-2N,,,,,,,,19289,500,15167,411,-20871,650,-23940.0,721.1,581,500,24949,640,7251,9,43026119,429,24330,400,Y,2002,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18
14,30,Si,,,,,,0,,,0+,360,GT,,ns,0.00000036,,B-,100,,B-N,,,,,,,,,,,18200,640,16199,583,-22664,707,,,3091,640,26249,781,7156,11,44031466,537,29310,500,Y,2007,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18
15,10,P,,,,,,0,,,(1/2+),30,LT,,ns,0.00000003,,P,100,,,,,,,,,,,,,,,,,-9324,721,16362.678,400.125,21901,640,-2156,400,6794,16,25021675,429,20190,400,Y,,1-Feb-2008,R.B. FIRESTONE,2023-10-18
15,11,P,,,,,,0,,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,ECP,36.8,2,EC2P,2.16,0.24,2,,,,,-16707,631,,,-9653,446,18114.003,196.0,17288,445,143,196,7198,8,26011780,210,10973,196,Y,1983,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18
15,12,P,,,,,,0,,,1/2+,260,,80,ms,0.26,0.08,EC+B+,100,,B+P,0.07,,,,,,,,,,-18150,400,-36411,600,-9832.0193,9.0072,11725.473,9.002,19703,196,807.0001,9.0000,7661.0894,0.3334,26999292.499,9.662,-659.032,9.001,N,1977,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18
15,13,P,,,,,,0,,,3+,270.3,,5,ms,0.2703,0.0005,EC+B+,100,,ECP,0.0013,0.0004,ECA,0.00086,0.00025,,0.312,0.003,0.137,0.014,-11221.0593,160.0041,-32710,400,-9523.9602,1.1654,14344.941,1.147,14560.1422,9.0735,2052.3222,1.1523,7907.4842,0.0410,27992326.46,1.231,-7147.856,1.147,N,1953,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18
15,14,P,,,,,,0,,,1/2+,4.142,,15,s,4.142,0.015,EC+B+,100,,,,,,,,,1.2344,0.0003,,,-13858.4257,13.0459,-29097.3700,160.0004,-10461.791,0.3647,4942.233,0.359,17876.3107,1.2021,2749.0230,0.3589,8251.2368,0.0124,28981800.368,0.385,-16952.849,0.359,N,1941,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18
15,15,P,,,,,,0,,,1+,2.498,,4,m,149.88,0.24,EC+B+,100,,,,,,,,,,,,,-6141.6014,0.1956,-25177.7505,13.0411,-10415.6324,0.0929,4232.106,0.069,11319.3249,0.3648,5594.7454,0.0652,8353.5064,0.0022,29978313.49,0.069,-20200.856,0.065,N,1934,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18
15,16,P,3.1889,0.0019,100,,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,1.130925,0.000005,,,-5398.013,0.2292,-18452.6080,0.2062,-9668.5967,0.0474,-1491.507,0.043,12311.0066,0.0652,7296.5531,0.0216,8481.1677,0.0002,30973761.99768,0.00080,-24440.54442,0.00075,N,1920,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18
15,17,P,,,,,,0,,,1+,14.268,,5,d,1232755.2,432,B-,100,,,,,,,,,-0.2528,0.0002,,,1710.6608,0.0400,-13333.6629,0.2327,-9879.0727,0.0630,-227.187,0.301,7935.6500,0.0400,8644.8100,0.0590,8464.1203,0.0013,31973907.643,0.042,-24304.876,0.040,N,1934,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18
15,18,P,,,,,,0,,,1/2+,25.35,,11,d,2190240,9504,B-,100,,,,,,,,,,,,,248.5079,1.0900,-8393.1313,1.0900,-10554.504,1.1432,-5823.022,1.295,10103.7921,1.0907,9548.6323,1.1300,8513.8073,0.0330,32971725.692,1.170,-26337.350,1.090,N,1951,05-JUL-2017,BALRAJ SINGH AND JUN CHEN,2023-10-18
15,19,P,,,,,,0,,,1+,12.43,,10,s,12.43,0.1,B-,100,,,,,,,,,,,,,5382.9879,0.8116,-6034.1613,0.8104,-11109.5009,2.0983,-4557.018,1.139,6282.6692,1.3582,11323.3446,1.0700,8448.1856,0.0238,33973645.886,0.870,-24548.702,0.810,N,1945,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18
15,20,P,,,,,,0,,,1/2+,47.3,,8,s,47.3,0.8,B-,100,,,,,,,,,,,,,3988.4006,1.8667,-2997.4378,1.8669,-12332.0163,2.9123,-10466.329,35.906,8380.4257,2.0348,12155.0962,2.0311,8446.2496,0.0533,34973314.045,2.003,-24857.809,1.866,N,1971,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18
15,21,P,,,,,,0,,,4-,5.6,,3,s,5.6,0.3,B-,100,,,,,,,,,,,,,10413.0962,13.1124,523.8471,13.1137,-11576.5922,14.9470,-7814.92,72.98,3464.5535,13.2432,13148.5357,38.1792,8307.8692,0.3643,35978259.61,14.078,-20251.045,13.114,N,1971,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18
15,22,P,,,,,,0,,,(1/2+),2.31,,13,s,2.31,0.13,B-,100,,,,,,,,,,,,,7900.4135,37.9474,3596.8105,37.9473,-12923.5461,38.5855,-12424.5,119.9,6816.2857,40.1489,13848.8581,81.2090,8267.5561,1.0256,36979606.942,40.738,-18996.012,37.948,N,1971,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2023-10-18
15,23,P,,,,,,0,,,(2-),0.64,,14,s,0.64,0.14,B-,100,,B-N,12,5,,,,,,,,,12239.6512,72.9340,4203.5431,72.5808,-14048.8619,72.6110,-10451.266,127.474,3696.8704,81.9022,15339.0237,134.9833,8147.2749,1.9100,37984303.105,77.918,-14621.565,72.581,N,1971,30-Sep-2017,JUN CHEN,2023-10-18
15,24,P,,,,,,0,,,(1/2+),0.28,,4,s,0.28,0.04,B-,100,,B-N,26,8,,,,,,,,,10388.0361,123.2430,6015.2622,112.8728,-14975.8218,112.8848,-15094.988,176.232,6224.3889,134.0028,15893.3076,153.8519,8097.9701,2.8883,38986285.865,120.929,-12774.636,112.645,N,1977,1-Jan-2018,JUN CHEN,2023-10-18
15,25,P,,,,,,0,,,(2- 3-),150,,8,ms,0.15,0.008,B-,100,,B-N,15.8,2.1,B-2N,,,,,,,,14698.6603,83.7017,6952.1643,97.4172,-16514.4895,171.2945,-13806.065,147.892,3435.8718,140.2816,17748.5122,159.2455,7981.4177,2.0902,39991262.221,89.755,-8139.189,83.607,N,1979,30-Sep-2015,JUN CHEN,2023-10-18
15,26,P,,,,,,0,,,,101,,5,ms,0.101,0.005,B-,100,,B-N,30,10,,,,,,,,,14028.8125,120.2326,9786.7641,120.2287,-17214.2477,216.6265,-18179.767,323.17,4911.8962,146.3872,17935.6145,171.2331,7906.5513,2.9308,40994654,129.000,-4979.767,120.163,N,1979,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18
15,27,P,,,,,,0,,,,48.5,,15,ms,0.0485,0.0015,B-,100,,B-N,50,20,B-2N,,,,,,,,18729.5899,95.0504,12029.1041,95.0977,-17803,178,-15748.158,314.685,1999.7084,153.1857,19397,315,7765.9122,2.2621,42001172.14,101.996,1091.842,95.009,N,1979,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18
15,28,P,,,,,,0,,,1/2+,36.5,,15,ms,0.0365,0.0015,B-,100,,B-N,100,,B-2N,,,,,,,,17236,300,14607,300,-18874,424,-19290.0,500.0,4123,315,19088,424,7681,7,43005411,322,5040,300,Y,1989,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18
15,29,P,,,,,,0,,,,18.5,,25,ms,0.0185,0.0025,B-,,,B-N,,,,,,,,,,,20314,400,15234,400,-20135,500,-18200.0,640.3,2002,500,20509,565,7552,9,44011927,429,11110,400,Y,1989,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18
15,30,P,,,,,,0,,,,200,GT,,ns,0.0000002,,B-,,,,,,,,,,,,,,19301,583,17093,500,-21055,640,,,3221,640,20639,707,7456,11,45017134,537,15960,500,Y,1990,30-Oct-2007,T. W. BURROWS,2023-10-18
15,31,P,,,,,,0,,,,,,,,,,B-,100,,,,,,,,,,,,,22200,640,18109,583,-21575,707,,,1191,707,21539,781,7320,11,46024520,537,22840,500,Y,1990,15-Jul-2000,S. -C. WU,2023-10-18
16,10,S,,,,,,0,,,0+,79,LT,,ns,0.000000079,,P,,,,,,,,,,,,,,,,,,-8385,781,16707.0,631.2,,,-201,721,6525,23,26029716,644,27680,600,Y,,1-Feb-2016,M.S. Basunia and A.M. Hurst,2023-10-18
16,11,S,,,,,,0,,,(5/2+),15.5,,15,ms,0.0155,0.0015,EC+B+,100,,B+P,2.3,0.9,B+2P,1.1,0.5,,,,,,,,,,-8884,641,18150.032,400.101,18261,721,771,445,6960,15,27018777,430,17491,400,Y,1986,30-Nov-2010,M. Shamsuzzoha Basunia,2023-10-18
16,12,S,,,,,,0,,,0+,125,,10,ms,0.125,0.01,EC+B+,100,,ECP,20.7,2,,,,,,,,,-24197,525,,,-9096.8986,161.1805,11221.059,160.004,21489,431,2556.7359,160.2530,7478.7911,5.7143,28004372.762,171.767,4073.203,160.000,N,1982,1-Apr-2013,M. Shamsuzzoha Basunia,2023-10-18
16,13,S,,,,,,0,,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,ECP,47,5,,,,,,,,,-17117,189,-39436,500,-9346.661,16.4337,13858.426,13.046,15238.9444,160.5306,3235.5380,13.0913,7746.3826,0.4497,28996678,14.000,-3094.423,13.041,N,1964,1-Jan-2012,M. Shamsuzzoha Basunia,2023-10-18
16,14,S,,,,,,0,,,0+,1.178,,5,s,1.178,0.005,EC+B+,100,,,,,,,,,,,,,-18733.802,23.8769,-36153,189,-9343.167,0.2326,6141.602,0.216,19036.1491,13.0425,4395.3764,0.4139,8122.7081,0.0069,29984906.77,0.221,-14059.254,0.206,N,1961,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18
16,15,S,,,,,,0,,,1/2+,2.5534,,18,s,2.5534,0.0018,EC+B+,100,,,,,,,,,0.48793,0.00008,,,-12007.979,3.4541,-31788.3971,23.8771,-9082.9421,0.2531,5398.013,0.229,13054.5951,0.3083,6130.6466,0.2383,8281.8013,0.0074,30979557.002,0.246,-19042.531,0.229,N,1940,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18
16,16,S,3.2611,0.0018,94.850,0.255,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-12680.8313,0.5617,-27052.3027,3.4465,-6947.6559,0.0014,-1710.661,0.04,15044.3237,0.2292,8863.9638,0.0014,8493.1301,0.0002,31972071.17354,0.00141,-26015.53714,0.00131,N,1920,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18
16,17,S,,,0.763,0.020,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,1/2,0.64325,0.00002,-0.694,0.004,-5582.5182,0.3908,-21322.4705,0.5617,-7115.6926,0.0014,-248.508,1.09,8641.6392,0.0005,9569.9530,0.0400,8497.6304,0.0002,32971458.90862,0.00144,-26585.85830,0.00134,N,1926,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2023-10-18
16,18,S,3.2847,0.0021,4.365,0.235,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1,0.2,0.04,0.03,-5491.6037,0.0378,-16999.6674,0.3933,-7923.6429,0.0496,-5382.987,0.811,11417.1492,0.0446,10883.3101,1.0909,8583.4986,0.0013,33967867.011,0.047,-29931.689,0.045,N,1926,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18
16,19,S,,,,,,0,,,3/2+,87.37,,4,d,7548768,3456,B-,100,,,,,,,,,1,0.04,-0.483,0.003,167.3218,0.0257,-12477.4421,0.0494,-8322.0883,0.0593,-3988.401,1.866,6985.8384,0.0387,11586.4793,0.8114,8537.8511,0.0012,34969032.321,0.043,-28846.210,0.040,N,1936,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18
16,20,S,3.2985,0.0024,0.0158,0.0017,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-1142.1329,0.1893,-9721.9273,0.1893,-9011.3676,0.3524,-10413.096,13.115,9889.2491,0.1905,13095.3028,1.8570,8575.39,0.0052,35967080.692,0.201,-30664.141,0.188,N,1938,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18
16,21,S,,,,,,0,,,7/2-,5.05,,2,m,303,1.2,B-,100,,,,,,,,,,,,,4865.1258,0.1965,-5445.7359,0.1995,-8807.0137,0.7262,-7900.414,37.949,4303.6031,0.0630,13934.3523,13.1125,8459.9363,0.0054,36971125.5,0.212,-26896.426,0.198,N,1945,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2023-10-18
16,22,S,,,,,,0,,,0+,170.3,,7,m,10218,42,B-,100,,,,,,,,,,,,,2936.9,7.1714,-3170.9823,7.1719,-9294.4477,7.2166,-12239.651,72.934,8036.1081,7.1745,15154.1746,38.6196,8448.7829,0.1887,37971163.3,7.699,-26861.216,7.172,N,1958,30-Sep-2017,JUN CHEN,2023-10-18
16,23,S,,,,,,0,,,(7/2)-,11.5,,5,s,11.5,0.5,B-,100,,,,,,,,,,,,,6637.5463,50.0300,-1435.8738,50.0001,-11196.1074,61.5284,-10388.036,123.243,4372.7738,50.5118,15830.0780,88.1359,8344.2698,1.2821,38975133.85,53.677,-23162.672,50.000,N,1971,1-Jan-2018,JUN CHEN,2023-10-18
16,24,S,,,,,,0,,,0+,8.8,,22,s,8.8,2.2,B-,100,,,,,,,,,-0.02,0.12,,,4719.9687,32.3118,-1108.9498,4.3425,-12826.6402,71.9078,-14698.661,83.702,7746.4960,50.1583,17352.1851,112.7151,8329.3255,0.0996,39975482.561,4.274,-22837.850,3.982,N,1971,30-Sep-2015,JUN CHEN,2023-10-18
16,25,S,,,,,,0,,,,1.99,,5,s,1.99,0.05,B-,100,,B-N,,,,,,,,,,,8298.6116,68.8456,477.9204,32.3264,-14861.9837,113.8831,-14028.813,120.233,4242.0484,5.7145,18158.3617,83.7073,8229.6358,0.1000,40979593.451,4.400,-19008.580,4.099,N,1979,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18
16,26,S,,,,,,0,,,0+,1.016,,15,s,1.016,0.015,B-,100,,B-N,4,,,,,,,,,,7194.0221,59.6811,1598.1258,68.7803,-15892.3645,104.8303,-18729.59,95.05,6700.4858,4.9606,19946.9513,120.1952,8193.2275,0.0665,41981065.1,3.000,-17637.748,2.794,N,1979,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18
16,27,S,,,,,,0,,,(3/2-),265,,15,ms,0.265,0.015,B-,100,,B-N,40,10,,,,,1.11,0.014,0.23,0.03,11964.05,62.0579,4564.9912,59.8225,-16940.7282,135.6235,-17235.461,300.041,2629.0309,5.7020,20576.2738,95.1393,8063.8276,0.1156,42986907.635,5.335,-12195.461,4.970,N,1979,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18
16,28,S,,,,,,0,,,0+,100,,1,ms,0.1,0.001,B-,100,,B-N,18,3,,,,,,,,,11274.7373,85.7253,6883.9563,62.0781,-17296.028,122.1020,-20314.236,400.034,5080.0937,7.2051,21534,300,7996.0154,0.1186,43990118.846,5.600,-9204.236,5.216,N,1979,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18
16,29,S,,,,,,0,,,,68,,2,ms,0.068,0.002,B-,100,,B-N,54,,,,,,,,,,14922,329,9067,312,-18965,424,-19300.0,583.0,2207,300,21739,500,7867,7,44996414,322,-3340,300,Y,1989,30-Oct-2007,T. W. BURROWS,2023-10-18
16,30,S,,,,,,0,,,0+,50,,8,ms,0.05,0.008,B-,100,,,,,,,,,,,,,14375,411,10831,422,-18625,500,-22200.0,640.3,4091,500,22609,640,7785,9,46000687,429,640,400,Y,1989,12-JAN-2010,BALRAJ SINGH,2023-10-18
16,32,S,,,,,,0,,,,,,,,,,B-,,,,,,,,,,,,,,16670,707,13899,539,-19346,707,,,2882,640,23709,781,7552,10,48013301,537,12390,500,Y,1990,30-Nov-2021,JUN CHEN,2023-10-18
17,12,Cl,,,,,,0,,,(1/2+),20,LT,,ns,0.00000002,,P,100,,,,,,,,,,,,,-23947,478,,,-8593,442,17116.423,189.449,22319,534,-2660,100,7129,7,29015053,203,14022,189,Y,1993,31-Jan-2016,BALRAJ SINGH,2023-10-18
17,13,Cl,,,,,,0,,,(3+),30,LT,,ns,0.00000003,,P,,,,,,,,,,,,,,-17397,180,-41366,439,-8723,197,18733.802,23.877,17419,190,-479.9999,20.0000,7472.1698,0.7959,30005018.333,25.631,4674.548,23.876,N,2018,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2023-10-18
17,14,Cl,,,,,,0,,,3/2+,190,,1,ms,0.19,0.001,EC+B+,100,,ECP,2.4,0.2,,,,,,,,,-18360,200,-37177,179,-8800.436,9.6380,12007.979,3.455,19780.4181,24.1235,264.2691,3.4527,7869.2101,0.1112,30992448.097,3.700,-7034.552,3.447,N,1977,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18
17,15,Cl,,,,,,0,,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,ECA,0.054,0.008,ECP,0.026,0.005,,1.115,0.006,,,-11134.3536,1.8568,-32731,200,-8611.7653,1.2560,12680.831,0.562,14371.4714,3.4920,1581.1455,0.5343,8072.4058,0.0176,31985684.605,0.603,-13334.706,0.562,N,1953,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18
17,16,Cl,,,,,,0,,,3/2+,2.511,,4,s,2.511,0.004,EC+B+,100,,,,,,,,,0.7547,0.0003,,,-11619.0452,0.5596,-26874.3058,1.8125,-6475.4069,0.5306,5582.518,0.391,15739.9523,0.6843,2276.7740,0.3908,8304.7557,0.0118,32977451.988,0.419,-21003.340,0.391,N,1940,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2023-10-18
17,17,Cl,,,,,,0,,,0+,1.5266,,4,s,1.5266,0.0004,EC+B+,100,,,,,,,,,,,,,-6061.793,0.0631,-23127.1090,0.4035,-6664.1457,0.0814,5491.603,0.067,11508.0637,0.3938,5143.1985,0.0487,8398.9706,0.0014,33973762.49,0.052,-24440.086,0.049,N,1934,28-May-2012,NINEL NICA and  BALRAJ SINGH,2023-10-18
17,18,Cl,3.3654,0.0191,75.80,0.17,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.8217,0.00002,-0.0817,0.0008,-5966.2429,0.6794,-18706.5569,0.0785,-6997.903,0.0355,-167.322,0.053,12644.7639,0.0506,6370.8132,0.0424,8520.279,0.0010,34968852.694,0.038,-29013.532,0.035,N,1919,20-Oct-2011,JUN CHEN and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18
17,19,Cl,,,,,,0,,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,B-,98.1,0.1,EC+B+,1.9,0.1,,,,,1.2849,0.0003,-0.178,0.004,709.5343,0.0449,-14546.0374,0.6794,-7642.0475,0.0537,1142.133,0.191,8579.7945,0.0048,7964.7692,0.0262,8521.9322,0.0010,35968306.822,0.038,-29522.008,0.036,N,1941,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2023-10-18
17,20,Cl,3.3840,0.0170,24.20,0.17,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.684,0.00001,-0.0644,0.0006,-813.8729,0.2000,-9601.3275,0.0584,-7849.1172,1.0912,-4865.126,0.205,10310.8617,0.0640,8386.3819,0.1861,8570.2816,0.0014,36965902.573,0.055,-31761.552,0.052,N,1919,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2023-10-18
17,21,Cl,,,,,,0,,,2-,37.230,,14,m,2233.8,0.84,B-,100,,,,,,,,,2.05,0.02,,,4916.7109,0.2182,-6921.7552,0.2166,-7674.3302,0.8163,-2936.9,7.1,6107.8823,0.0832,10190.6611,0.2134,8505.4817,0.0026,37968010.408,0.105,-29798.116,0.098,N,1940,30-Sep-2017,JUN CHEN,2023-10-18
17,22,Cl,,,,,,0,,,3/2+,56.2,,6,m,3372,36,B-,100,,,,,,,,,,,,,3441.9774,5.2915,-3156.7093,1.7430,-7367.3246,2.5457,-6637.546,50.03,8073.4201,1.7333,10227.9731,7.3779,8494.4032,0.0444,38968008.151,1.859,-29800.218,1.732,N,1949,1-Jan-2018,JUN CHEN,2023-10-18
17,23,Cl,,,,,,0,,,2-,1.35,,3,m,81,1.8,B-,100,,,,,,,,,,,,,7482.0816,32.0655,-2386.9411,32.4530,-9731.6896,34.6434,-4719.968,32.312,5828.9185,32.1123,11684.1178,59.3986,8427.766,0.8016,39970415.466,34.423,-27557.818,32.066,N,1956,30-Sep-2015,JUN CHEN,2023-10-18
17,24,Cl,,,,,,0,,,(1/2+),38.4,,8,s,38.4,0.8,B-,100,,,,,,,,,,,,,5760.318,68.7243,-338.6097,68.7235,-10736.0951,78.5045,-8298.612,68.845,7820.6912,75.8361,11758.3130,68.8387,8412.9593,1.6762,40970684.525,73.777,-27307.192,68.723,N,1971,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2023-10-18
17,25,Cl,,,,,,0,,,(2-),6.8,,3,s,6.8,0.3,B-,100,,,,,,,,,,,,,9590.9082,59.8947,164.4217,59.6166,-12635.1209,93.9253,-7194.022,59.681,5595.8963,90.9777,13112.1609,59.7563,8345.8864,1.4194,41973342,64.000,-24831.770,59.616,N,1971,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2023-10-18
17,26,Cl,,,,,,0,,,(1/2+),3.13,,9,s,3.13,0.09,B-,100,,,,,,,,,,,,,7850.3002,62.0860,2191.8495,62.1275,-13809.7908,128.5119,-11964.049,62.058,7399.0588,85.9098,13810.7339,61.9216,8323.8672,1.4386,42974063.7,66.407,-24159.510,61.859,N,1976,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2023-10-18
17,27,Cl,,,,,,0,,,(2-),0.56,,11,s,0.56,0.11,B-,100,,B-N,8,,,,,,-0.5498,0.0004,,,12194.2869,85.5811,3459.5192,85.7310,-14764.7,119.6316,-11274.737,85.725,4390.7810,105.5845,15572.4840,85.7107,8234.4788,1.9447,43978014.918,91.859,-20478.973,85.566,N,1979,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2023-10-18
17,28,Cl,,,,,,0,,,(1/2+),413,,25,ms,0.413,0.025,B-,100,,B-N,24,4,,,,,,,,,11508.2568,136.1643,6339.3978,136.1726,-15707.6929,181.6027,-14922.544,329.455,5854.8891,160.8169,16347.2794,136.2633,8181.5991,3.0259,44980394.353,146.177,-18262.544,136.163,N,1979,30-Oct-2007,T. W. BURROWS,2023-10-18
17,29,Cl,,,,,,0,,,(2-),232,,2,ms,0.232,0.002,B-,100,,B-N,60,9,,,,,,,,,16036.3062,97.2766,7964.5344,97.2501,-17251.7068,135.9562,-14374.949,411.652,3543.7223,167.3254,17684,315,8080.7757,2.1141,45985254.926,104.400,-13734.949,97.249,N,1989,31-AUG-2012,BALRAJ SINGH,2023-10-18
17,30,Cl,,,,,,0,,,,101,,6,ms,0.101,0.006,B-,100,,B-N,3,,,,,,,,,,15787,200,12120,200,-17046,361,-16780.0,447.2,3917,223,17509,447,7992,4,46989715,215,-9580,200,Y,1989,20-Feb-2007,T. W. BURROWS,2023-10-18
17,31,Cl,,,,,,0,,,,,,,,,,B-,,,,,,,,,,,,,,18075,500,13016,500,-17815,640,-16670.0,707.1,2771,539,18770,640,7883,10,47995405,537,-4280,500,Y,1989,30-Nov-2021,JUN CHEN,2023-10-18
17,32,Cl,,,,,,0,,,,170,GE,,ns,0.00000017,,B-,,,,,,,,,,,,,,17800,565,15023,400,-17646,640,-19651.0,707.0,3051,640,18939,640,7785,8,49000794,429,740,400,Y,1989,14-Jul-2008,T. W. Burrows{+a},2023-10-18
17,33,Cl,,,,,,0,,,,,,,,,,B-,100,,B-N,,,B-2N,,,,,,,,20930,640,16689,565,-17565,640,,,1111,565,19980,707,7651,8,50008266,429,7700,400,Y,2009,15-Apr-2019,Jun Chen and Balraj Singh,2023-10-18
17,34,Cl,,,,,,0,,,,,,,,,,B-,100,,,,,,,,,,,,,20780,806,19449,860,-16945,922,,,1481,806,,,7530,14,51015341,751,14290,700,Y,1990,1-Mar-2016,Wang Jimin and Huang Xiaolong,2023-10-18
17,35,Cl,,,,,,0,,,,,,,,,,B-,100,,B-6N,,,B-5N,,,,,,,,23739,922,20778,806,,,,,2,989,,,7386,13,52024004,751,22360,700,Y,2018,21-MAY-2021,BALRAJ SINGH,2023-10-18
18,12,Ar,,,,,,0,,,0+,10,LT,,ps,0.00000000001,,2P,100,,,,,,,,,,,,,,,,,-8034,626,17396.452,180.585,23969,474,-760,128,6866,6,30023694,192,22071,179,Y,2015,15-JAN-2016,BALRAJ SINGH,2023-10-18
18,13,Ar,,,,,,0,,,5/2+,15.0,,3,ms,0.015,0.0003,EC+B+,100,,B+P,68.3,0.3,B+2P,8.9,0.2,,,,,,-22935,361,,,-8590,447,18359.552,200.03,18817,268,638,201,7252,6,31012158,215,11325,200,Y,1986,24-Jun-2022,Jun Chen and Balraj Singh,2023-10-18
18,14,Ar,3.3468,0.0062,,,,0,,,0+,98,,2,ms,0.098,0.002,EC+B+,100,,ECP,35.58,0.22,,,,,,,,,-24190,400,-44532,300,-8698.4711,160.0098,11134.354,1.857,21597,200,2454.7709,3.8744,7700.0089,0.0553,31997637.824,1.900,-2200.352,1.770,N,1977,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2023-10-18
